,user_id,gender,occupation,zipcode,age_desc,occ_desc
223,224,FEMALE,4,14850,18-24,COLLEGE/GRAD STUDENT
224,225,MALE,7,11215,25-34,EXECUTIVE/MANAGERIAL
225,226,MALE,1,94518,35-44,ACADEMIC/EDUCATOR
226,227,MALE,20,90291,35-44,WRITER
227,228,MALE,15,55455,25-34,SCIENTIST
228,229,MALE,10,04576,18-24,K-12 STUDENT
229,230,MALE,1,43210,45-49,ACADEMIC/EDUCATOR
230,231,MALE,3,55455,25-34,CLERICAL/ADMIN
231,232,MALE,20,55408,25-34,WRITER
232,233,FEMALE,20,37919-4204,45-49,WRITER
233,234,MALE,7,39652,35-44,EXECUTIVE/MANAGERIAL
234,235,MALE,0,98153,25-34,OTHER OR NOT SPECIFIED
235,236,MALE,5,55126,25-34,CUSTOMER SERVICE
236,237,MALE,6,46835,25-34,DOCTOR/HEALTH CARE
237,238,FEMALE,7,90291,50-55,EXECUTIVE/MANAGERIAL
238,239,MALE,19,94618,18-24,UNEMPLOYED
239,240,MALE,17,55113,50-55,TECHNICIAN/ENGINEER
240,241,MALE,20,55121,35-44,WRITER
241,242,FEMALE,4,53706,18-24,COLLEGE/GRAD STUDENT
242,243,MALE,16,11576,25-34,SELF-EMPLOYED
243,244,MALE,7,19072,50-55,EXECUTIVE/MANAGERIAL
244,245,MALE,16,66046,35-44,SELF-EMPLOYED
245,246,FEMALE,4,60625,18-24,COLLEGE/GRAD STUDENT
246,247,MALE,17,94404,25-34,TECHNICIAN/ENGINEER
247,248,MALE,17,72703,18-24,TECHNICIAN/ENGINEER
248,249,FEMALE,14,48126,18-24,SALES/MARKETING
249,250,MALE,16,11229,35-44,SELF-EMPLOYED
250,251,MALE,17,55105,56+,TECHNICIAN/ENGINEER
251,252,MALE,12,94112,25-34,PROGRAMMER
252,253,FEMALE,11,97370,25-34,LAWYER
253,254,MALE,17,49015,35-44,TECHNICIAN/ENGINEER
254,255,MALE,0,85310,35-44,OTHER OR NOT SPECIFIED
255,256,MALE,16,55076,45-49,SELF-EMPLOYED
256,257,MALE,18,55113,18-24,TRADESMAN/CRAFTSMAN
257,258,MALE,7,55436,25-34,EXECUTIVE/MANAGERIAL
258,259,MALE,1,60615,25-34,ACADEMIC/EDUCATOR
259,260,MALE,19,98126,18-24,UNEMPLOYED
260,261,MALE,20,75801,25-34,WRITER
261,262,FEMALE,1,68503,25-34,ACADEMIC/EDUCATOR
262,263,FEMALE,7,22304,25-34,EXECUTIVE/MANAGERIAL
263,264,MALE,0,20755,35-44,OTHER OR NOT SPECIFIED
264,265,FEMALE,7,55116,35-44,EXECUTIVE/MANAGERIAL
265,266,MALE,11,75229,35-44,LAWYER
266,267,MALE,12,55001,45-49,PROGRAMMER
267,268,FEMALE,12,29708,18-24,PROGRAMMER
268,269,MALE,2,55408,25-34,ARTIST
269,270,MALE,14,55414,50-55,SALES/MARKETING
270,271,MALE,4,48202,18-24,COLLEGE/GRAD STUDENT
271,272,MALE,0,80302,18-24,OTHER OR NOT SPECIFIED
272,273,MALE,4,55427,18-24,COLLEGE/GRAD STUDENT
273,274,MALE,4,55455,18-24,COLLEGE/GRAD STUDENT
274,275,MALE,0,48162,25-34,OTHER OR NOT SPECIFIED
275,276,MALE,16,01982,45-49,SELF-EMPLOYED
276,277,FEMALE,1,98126,35-44,ACADEMIC/EDUCATOR
277,278,MALE,18,60482,45-49,TRADESMAN/CRAFTSMAN
278,279,MALE,14,91214,25-34,SALES/MARKETING
279,280,MALE,7,19118,50-55,EXECUTIVE/MANAGERIAL
280,281,FEMALE,0,94117,35-44,OTHER OR NOT SPECIFIED
281,282,MALE,17,94401,25-34,TECHNICIAN/ENGINEER
282,283,MALE,0,10003,25-34,OTHER OR NOT SPECIFIED
283,284,MALE,12,91910,25-34,PROGRAMMER
284,285,FEMALE,0,94109,35-44,OTHER OR NOT SPECIFIED
285,286,MALE,1,54601,25-34,ACADEMIC/EDUCATOR
286,287,MALE,13,94706,50-55,RETIRED
287,288,FEMALE,12,97119,25-34,PROGRAMMER
288,289,FEMALE,0,11801,25-34,OTHER OR NOT SPECIFIED
289,290,FEMALE,20,94591,25-34,WRITER
290,291,MALE,12,55110,35-44,PROGRAMMER
291,292,MALE,7,19406,35-44,EXECUTIVE/MANAGERIAL
292,293,MALE,1,55337-4056,56+,ACADEMIC/EDUCATOR
293,294,FEMALE,9,43147,45-49,HOMEMAKER
294,295,MALE,0,80203,18-24,OTHER OR NOT SPECIFIED
295,296,MALE,5,89432,50-55,CUSTOMER SERVICE
296,297,MALE,2,97211,18-24,ARTIST
297,298,FEMALE,4,19010,18-24,COLLEGE/GRAD STUDENT
298,299,MALE,12,97370,25-34,PROGRAMMER
299,300,MALE,7,78664,25-34,EXECUTIVE/MANAGERIAL
300,301,MALE,4,61820,18-24,COLLEGE/GRAD STUDENT
301,302,MALE,4,04901,18-24,COLLEGE/GRAD STUDENT
302,303,MALE,7,20006,25-34,EXECUTIVE/MANAGERIAL
303,304,MALE,0,55414,25-34,OTHER OR NOT SPECIFIED
304,305,FEMALE,0,55414,18-24,OTHER OR NOT SPECIFIED
305,306,MALE,0,53051,18-24,OTHER OR NOT SPECIFIED
306,307,MALE,16,90027,50-55,SELF-EMPLOYED
307,308,MALE,2,10025,25-34,ARTIST
308,309,MALE,4,16801,25-34,COLLEGE/GRAD STUDENT
309,310,FEMALE,4,31207,18-24,COLLEGE/GRAD STUDENT
310,311,MALE,4,31201,18-24,COLLEGE/GRAD STUDENT
311,312,FEMALE,2,22207,50-55,ARTIST
312,313,FEMALE,4,02138,18-24,COLLEGE/GRAD STUDENT
313,314,FEMALE,9,46911,56+,HOMEMAKER
314,315,FEMALE,1,55105,56+,ACADEMIC/EDUCATOR
315,316,MALE,13,90740,56+,RETIRED
316,317,MALE,7,38555,35-44,EXECUTIVE/MANAGERIAL
317,318,FEMALE,13,55104,56+,RETIRED
318,319,FEMALE,6,33436,50-55,DOCTOR/HEALTH CARE
319,320,MALE,6,99516,35-44,DOCTOR/HEALTH CARE
320,321,MALE,4,55128,18-24,COLLEGE/GRAD STUDENT
321,322,MALE,17,55117,56+,TECHNICIAN/ENGINEER
322,323,MALE,12,53716,45-49,PROGRAMMER
323,324,MALE,17,55106,35-44,TECHNICIAN/ENGINEER
324,325,FEMALE,3,55112,50-55,CLERICAL/ADMIN
325,326,MALE,11,25302,50-55,LAWYER
326,327,MALE,18,55448,35-44,TRADESMAN/CRAFTSMAN
327,328,MALE,12,80401,35-44,PROGRAMMER
328,329,MALE,7,02115,35-44,EXECUTIVE/MANAGERIAL
329,330,MALE,7,92065,56+,EXECUTIVE/MANAGERIAL
330,331,MALE,7,55902,25-34,EXECUTIVE/MANAGERIAL
331,332,MALE,1,55109,50-55,ACADEMIC/EDUCATOR
332,333,MALE,2,55410,35-44,ARTIST
333,334,FEMALE,2,55113,56+,ARTIST
334,335,MALE,18,55434,35-44,TRADESMAN/CRAFTSMAN
335,336,MALE,0,98765,18-24,OTHER OR NOT SPECIFIED
336,337,MALE,19,80205,18-24,UNEMPLOYED
337,338,MALE,7,55116,35-44,EXECUTIVE/MANAGERIAL
338,339,MALE,7,80207,50-55,EXECUTIVE/MANAGERIAL
339,340,FEMALE,3,28001,25-34,CLERICAL/ADMIN
340,341,FEMALE,13,92119,56+,RETIRED
341,342,MALE,12,55076,18-24,PROGRAMMER
342,343,FEMALE,3,55127,35-44,CLERICAL/ADMIN
343,344,MALE,14,75034,35-44,SALES/MARKETING
344,345,MALE,12,94114,25-34,PROGRAMMER
345,346,FEMALE,0,55110,25-34,OTHER OR NOT SPECIFIED
346,347,FEMALE,1,55305,56+,ACADEMIC/EDUCATOR
347,348,MALE,7,55110,50-55,EXECUTIVE/MANAGERIAL
348,349,MALE,10,08035,UNDER 18,K-12 STUDENT
349,350,MALE,20,08035,45-49,WRITER
350,351,MALE,4,55105,18-24,COLLEGE/GRAD STUDENT
351,352,MALE,4,60115,18-24,COLLEGE/GRAD STUDENT
352,353,FEMALE,7,92625,35-44,EXECUTIVE/MANAGERIAL
353,354,MALE,1,55117,35-44,ACADEMIC/EDUCATOR
354,355,MALE,3,55107,18-24,CLERICAL/ADMIN
355,356,MALE,20,55101,56+,WRITER
356,357,MALE,0,98103,18-24,OTHER OR NOT SPECIFIED
357,358,FEMALE,1,20815,56+,ACADEMIC/EDUCATOR
358,359,MALE,17,55128,25-34,TECHNICIAN/ENGINEER
359,360,MALE,17,28208,35-44,TECHNICIAN/ENGINEER
360,361,FEMALE,14,94115,25-34,SALES/MARKETING
361,362,MALE,20,55407,35-44,WRITER
362,363,MALE,10,55419,18-24,K-12 STUDENT
363,364,FEMALE,1,46815,35-44,ACADEMIC/EDUCATOR
364,365,FEMALE,4,02138,18-24,COLLEGE/GRAD STUDENT
365,366,MALE,15,55126,50-55,SCIENTIST
366,367,MALE,12,55421,50-55,PROGRAMMER
367,368,MALE,0,90293,25-34,OTHER OR NOT SPECIFIED
368,369,MALE,1,55110,35-44,ACADEMIC/EDUCATOR
369,370,MALE,17,22304,18-24,TECHNICIAN/ENGINEER
370,371,MALE,4,02141,18-24,COLLEGE/GRAD STUDENT
371,372,FEMALE,4,72227,18-24,COLLEGE/GRAD STUDENT
372,373,FEMALE,2,55347,25-34,ARTIST
373,374,FEMALE,14,55346,35-44,SALES/MARKETING
374,375,MALE,2,55106,25-34,ARTIST
375,376,MALE,1,80026,35-44,ACADEMIC/EDUCATOR
376,377,MALE,17,55418,25-34,TECHNICIAN/ENGINEER
377,378,FEMALE,0,55105,18-24,OTHER OR NOT SPECIFIED
378,379,FEMALE,1,54822,35-44,ACADEMIC/EDUCATOR
379,380,MALE,2,92024,25-34,ARTIST
380,381,MALE,17,89015,35-44,TECHNICIAN/ENGINEER
381,382,FEMALE,20,66205,35-44,WRITER
382,383,FEMALE,7,78757,25-34,EXECUTIVE/MANAGERIAL
383,384,MALE,11,55075,25-34,LAWYER
384,385,MALE,6,68131,25-34,DOCTOR/HEALTH CARE
385,386,MALE,0,55408,25-34,OTHER OR NOT SPECIFIED
386,387,FEMALE,7,55111,35-44,EXECUTIVE/MANAGERIAL
387,388,FEMALE,0,10021,25-34,OTHER OR NOT SPECIFIED
388,389,MALE,6,68128,25-34,DOCTOR/HEALTH CARE
389,390,MALE,4,55405,25-34,COLLEGE/GRAD STUDENT
390,391,MALE,11,22122,45-49,LAWYER
391,392,MALE,7,20037,18-24,EXECUTIVE/MANAGERIAL
392,393,MALE,17,55402,35-44,TECHNICIAN/ENGINEER
393,394,MALE,0,55013,18-24,OTHER OR NOT SPECIFIED
394,395,MALE,5,55104,18-24,CUSTOMER SERVICE
395,396,MALE,1,56187,25-34,ACADEMIC/EDUCATOR
396,397,MALE,17,22124,35-44,TECHNICIAN/ENGINEER
397,398,MALE,17,55454,25-34,TECHNICIAN/ENGINEER
398,399,FEMALE,6,55128,35-44,DOCTOR/HEALTH CARE
399,400,FEMALE,3,55422,18-24,CLERICAL/ADMIN
400,401,MALE,0,55129,18-24,OTHER OR NOT SPECIFIED
401,402,MALE,11,55427,25-34,LAWYER
402,403,MALE,4,02138,18-24,COLLEGE/GRAD STUDENT
403,404,MALE,4,10128,18-24,COLLEGE/GRAD STUDENT
404,405,MALE,1,13077,56+,ACADEMIC/EDUCATOR
405,406,MALE,20,55105,25-34,WRITER
406,407,MALE,17,89503,18-24,TECHNICIAN/ENGINEER
407,408,MALE,11,02143,25-34,LAWYER
408,409,MALE,12,55122,18-24,PROGRAMMER
409,410,FEMALE,1,55417,25-34,ACADEMIC/EDUCATOR
410,411,FEMALE,1,43214,45-49,ACADEMIC/EDUCATOR
411,412,MALE,15,55117,35-44,SCIENTIST
412,413,MALE,11,55409,25-34,LAWYER
413,414,MALE,0,55317,25-34,OTHER OR NOT SPECIFIED
414,415,FEMALE,0,55406,35-44,OTHER OR NOT SPECIFIED
415,416,MALE,14,55076,45-49,SALES/MARKETING
416,417,FEMALE,0,50613,25-34,OTHER OR NOT SPECIFIED
417,418,FEMALE,3,54016,25-34,CLERICAL/ADMIN
418,419,MALE,3,55422,18-24,CLERICAL/ADMIN
419,420,MALE,1,55406,35-44,ACADEMIC/EDUCATOR
420,421,FEMALE,3,55125,45-49,CLERICAL/ADMIN
421,422,MALE,17,55104,56+,TECHNICIAN/ENGINEER
422,423,MALE,4,55455,18-24,COLLEGE/GRAD STUDENT
423,424,MALE,17,55112,25-34,TECHNICIAN/ENGINEER
424,425,MALE,12,55303,25-34,PROGRAMMER
425,426,MALE,4,55455,18-24,COLLEGE/GRAD STUDENT
426,427,MALE,12,55104,35-44,PROGRAMMER
427,428,FEMALE,4,55455,18-24,COLLEGE/GRAD STUDENT
428,429,MALE,0,54901,18-24,OTHER OR NOT SPECIFIED
429,430,FEMALE,10,55306,18-24,K-12 STUDENT
430,431,MALE,10,55303,18-24,K-12 STUDENT
431,432,MALE,16,55306,45-49,SELF-EMPLOYED
432,433,MALE,6,55115,50-55,DOCTOR/HEALTH CARE
433,434,FEMALE,3,98155,45-49,CLERICAL/ADMIN
434,435,MALE,7,55125,25-34,EXECUTIVE/MANAGERIAL
435,436,MALE,4,43023,18-24,COLLEGE/GRAD STUDENT
436,437,MALE,17,55030,35-44,TECHNICIAN/ENGINEER
437,438,MALE,11,53705,18-24,LAWYER
438,439,MALE,14,55129,35-44,SALES/MARKETING
439,440,MALE,1,32940,56+,ACADEMIC/EDUCATOR
440,441,MALE,1,55127,35-44,ACADEMIC/EDUCATOR
441,442,MALE,1,55105,25-34,ACADEMIC/EDUCATOR
442,443,MALE,3,55421,25-34,CLERICAL/ADMIN
443,444,MALE,0,55108,56+,OTHER OR NOT SPECIFIED
444,445,MALE,12,55117,45-49,PROGRAMMER
445,446,FEMALE,0,55042,50-55,OTHER OR NOT SPECIFIED
446,447,FEMALE,11,55105,45-49,LAWYER
447,448,MALE,17,80123,25-34,TECHNICIAN/ENGINEER
