,movie_id,title,genres
108,110,BRAVEHEART (1995),DRAMA
108,110,BRAVEHEART (1995),WAR
109,111,TAXI DRIVER (1976),DRAMA
109,111,TAXI DRIVER (1976),THRILLER
110,112,RUMBLE IN THE BRONX (1995),ACTION
110,112,RUMBLE IN THE BRONX (1995),ADVENTURE
110,112,RUMBLE IN THE BRONX (1995),CRIME
111,113,BEFORE AND AFTER (1996),DRAMA
111,113,BEFORE AND AFTER (1996),MYSTERY
112,114,MARGARET'S MUSEUM (1995),DRAMA
113,115,HAPPINESS IS IN THE FIELD (1995),COMEDY
114,116,ANNE FRANK REMEMBERED (1995),DOCUMENTARY
115,117,"YOUNG POISONER'S HANDBOOK, THE (1995)",CRIME
116,118,IF LUCY FELL (1996),COMEDY
116,118,IF LUCY FELL (1996),ROMANCE
117,119,"STEAL BIG, STEAL LITTLE (1995)",COMEDY
118,120,RACE THE SUN (1996),DRAMA
119,121,"BOYS OF ST. VINCENT, THE (1993)",DRAMA
120,122,BOOMERANG (1992),COMEDY
120,122,BOOMERANG (1992),ROMANCE
121,123,CHUNGKING EXPRESS (1994),DRAMA
121,123,CHUNGKING EXPRESS (1994),MYSTERY
121,123,CHUNGKING EXPRESS (1994),ROMANCE
122,124,"STAR MAKER, THE (UOMO DELLE STELLE, L') (1995)",DRAMA
123,125,FLIRTING WITH DISASTER (1996),COMEDY
124,126,"NEVERENDING STORY III, THE (1994)",ADVENTURE
124,126,"NEVERENDING STORY III, THE (1994)",CHILDREN'S
124,126,"NEVERENDING STORY III, THE (1994)",FANTASY
125,127,"SILENCE OF THE PALACE, THE (SAIMT EL QUSUR) (1994)",DRAMA
126,128,JUPITER'S WIFE (1994),DOCUMENTARY
127,129,PIE IN THE SKY (1995),COMEDY
127,129,PIE IN THE SKY (1995),ROMANCE
128,130,ANGELA (1995),DRAMA
129,131,FRANKIE STARLIGHT (1995),DRAMA
129,131,FRANKIE STARLIGHT (1995),ROMANCE
130,132,JADE (1995),THRILLER
131,133,NUEBA YOL (1995),COMEDY
131,133,NUEBA YOL (1995),DRAMA
132,134,SONIC OUTLAWS (1995),DOCUMENTARY
133,135,DOWN PERISCOPE (1996),COMEDY
134,136,FROM THE JOURNALS OF JEAN SEBERG (1995),DOCUMENTARY
135,137,MAN OF THE YEAR (1995),DOCUMENTARY
136,138,"NEON BIBLE, THE (1995)",DRAMA
137,139,TARGET (1995),ACTION
137,139,TARGET (1995),DRAMA
138,140,UP CLOSE AND PERSONAL (1996),DRAMA
138,140,UP CLOSE AND PERSONAL (1996),ROMANCE
139,141,"BIRDCAGE, THE (1996)",COMEDY
140,142,SHADOWS (CIENIE) (1988),DRAMA
141,143,GOSPA (1995),DRAMA
142,144,"BROTHERS MCMULLEN, THE (1995)",COMEDY
143,145,BAD BOYS (1995),ACTION
144,146,"AMAZING PANDA ADVENTURE, THE (1995)",ADVENTURE
144,146,"AMAZING PANDA ADVENTURE, THE (1995)",CHILDREN'S
145,147,"BASKETBALL DIARIES, THE (1995)",DRAMA
146,148,"AWFULLY BIG ADVENTURE, AN (1995)",DRAMA
147,149,AMATEUR (1994),CRIME
147,149,AMATEUR (1994),DRAMA
147,149,AMATEUR (1994),THRILLER
148,150,APOLLO 13 (1995),DRAMA
149,151,ROB ROY (1995),DRAMA
149,151,ROB ROY (1995),ROMANCE
149,151,ROB ROY (1995),WAR
150,152,"ADDICTION, THE (1995)",HORROR
151,153,BATMAN FOREVER (1995),ACTION
151,153,BATMAN FOREVER (1995),ADVENTURE
151,153,BATMAN FOREVER (1995),COMEDY
151,153,BATMAN FOREVER (1995),CRIME
152,154,BELLE DE JOUR (1967),DRAMA
153,155,BEYOND RANGOON (1995),DRAMA
153,155,BEYOND RANGOON (1995),WAR
154,156,BLUE IN THE FACE (1995),COMEDY
155,157,CANADIAN BACON (1994),COMEDY
155,157,CANADIAN BACON (1994),WAR
156,158,CASPER (1995),ADVENTURE
156,158,CASPER (1995),CHILDREN'S
157,159,CLOCKERS (1995),DRAMA
158,160,CONGO (1995),ACTION
158,160,CONGO (1995),ADVENTURE
158,160,CONGO (1995),MYSTERY
158,160,CONGO (1995),SCI-FI
159,161,CRIMSON TIDE (1995),DRAMA
159,161,CRIMSON TIDE (1995),THRILLER
159,161,CRIMSON TIDE (1995),WAR
160,162,CRUMB (1994),DOCUMENTARY
161,163,DESPERADO (1995),ACTION
161,163,DESPERADO (1995),ROMANCE
161,163,DESPERADO (1995),THRILLER
162,164,DEVIL IN A BLUE DRESS (1995),CRIME
162,164,DEVIL IN A BLUE DRESS (1995),FILM-NOIR
162,164,DEVIL IN A BLUE DRESS (1995),MYSTERY
162,164,DEVIL IN A BLUE DRESS (1995),THRILLER
163,165,DIE HARD: WITH A VENGEANCE (1995),ACTION
163,165,DIE HARD: WITH A VENGEANCE (1995),THRILLER
164,166,"DOOM GENERATION, THE (1995)",COMEDY
164,166,"DOOM GENERATION, THE (1995)",DRAMA
165,167,FEAST OF JULY (1995),DRAMA
166,168,FIRST KNIGHT (1995),ACTION
166,168,FIRST KNIGHT (1995),ADVENTURE
166,168,FIRST KNIGHT (1995),DRAMA
166,168,FIRST KNIGHT (1995),ROMANCE
167,169,FREE WILLY 2: THE ADVENTURE HOME (1995),ADVENTURE
167,169,FREE WILLY 2: THE ADVENTURE HOME (1995),CHILDREN'S
167,169,FREE WILLY 2: THE ADVENTURE HOME (1995),DRAMA
168,170,HACKERS (1995),ACTION
168,170,HACKERS (1995),CRIME
168,170,HACKERS (1995),THRILLER
169,171,JEFFREY (1995),COMEDY
170,172,JOHNNY MNEMONIC (1995),ACTION
170,172,JOHNNY MNEMONIC (1995),SCI-FI
170,172,JOHNNY MNEMONIC (1995),THRILLER
171,173,JUDGE DREDD (1995),ACTION
171,173,JUDGE DREDD (1995),ADVENTURE
171,173,JUDGE DREDD (1995),SCI-FI
172,174,JURY DUTY (1995),COMEDY
173,175,KIDS (1995),DRAMA
174,176,LIVING IN OBLIVION (1995),COMEDY
175,177,LORD OF ILLUSIONS (1995),HORROR
176,178,LOVE & HUMAN REMAINS (1993),COMEDY
177,179,MAD LOVE (1995),DRAMA
177,179,MAD LOVE (1995),ROMANCE
178,180,MALLRATS (1995),COMEDY
179,181,MIGHTY MORPHIN POWER RANGERS: THE MOVIE (1995),ACTION
179,181,MIGHTY MORPHIN POWER RANGERS: THE MOVIE (1995),CHILDREN'S
180,182,MOONLIGHT AND VALENTINO (1995),DRAMA
180,182,MOONLIGHT AND VALENTINO (1995),ROMANCE
181,183,MUTE WITNESS (1994),THRILLER
182,184,NADJA (1994),DRAMA
183,185,"NET, THE (1995)",SCI-FI
183,185,"NET, THE (1995)",THRILLER
184,186,NINE MONTHS (1995),COMEDY
185,187,PARTY GIRL (1995),COMEDY
186,188,"PROPHECY, THE (1995)",HORROR
187,189,RECKLESS (1995),COMEDY
188,190,SAFE (1995),THRILLER
189,191,"SCARLET LETTER, THE (1995)",DRAMA
190,192,"SHOW, THE (1995)",DOCUMENTARY
191,193,SHOWGIRLS (1995),DRAMA
192,194,SMOKE (1995),DRAMA
193,195,SOMETHING TO TALK ABOUT (1995),COMEDY
193,195,SOMETHING TO TALK ABOUT (1995),DRAMA
193,195,SOMETHING TO TALK ABOUT (1995),ROMANCE
194,196,SPECIES (1995),HORROR
194,196,SPECIES (1995),SCI-FI
195,197,"STARS FELL ON HENRIETTA, THE (1995)",DRAMA
196,198,STRANGE DAYS (1995),ACTION
196,198,STRANGE DAYS (1995),CRIME
196,198,STRANGE DAYS (1995),SCI-FI
197,199,"UMBRELLAS OF CHERBOURG, THE (PARAPLUIES DE CHERBOURG, LES) (1964)",DRAMA
197,199,"UMBRELLAS OF CHERBOURG, THE (PARAPLUIES DE CHERBOURG, LES) (1964)",MUSICAL
198,200,"TIE THAT BINDS, THE (1995)",THRILLER
199,201,THREE WISHES (1995),DRAMA
200,202,TOTAL ECLIPSE (1995),DRAMA
200,202,TOTAL ECLIPSE (1995),ROMANCE
201,203,"TO WONG FOO, THANKS FOR EVERYTHING! JULIE NEWMAR (1995)",COMEDY
202,204,UNDER SIEGE 2: DARK TERRITORY (1995),ACTION
203,205,UNSTRUNG HEROES (1995),COMEDY
203,205,UNSTRUNG HEROES (1995),DRAMA
204,206,UNZIPPED (1995),DOCUMENTARY
205,207,"WALK IN THE CLOUDS, A (1995)",DRAMA
205,207,"WALK IN THE CLOUDS, A (1995)",ROMANCE
206,208,WATERWORLD (1995),ACTION
206,208,WATERWORLD (1995),ADVENTURE
207,209,WHITE MAN'S BURDEN (1995),DRAMA
208,210,WILD BILL (1995),WESTERN
209,211,"BROWNING VERSION, THE (1994)",DRAMA
210,212,BUSHWHACKED (1995),COMEDY
211,213,BURNT BY THE SUN (UTOMLYONNYE SOLNTSEM) (1994),DRAMA
212,214,BEFORE THE RAIN (PRED DOZHDOT) (1994),DRAMA
213,215,BEFORE SUNRISE (1995),DRAMA
213,215,BEFORE SUNRISE (1995),ROMANCE
214,216,BILLY MADISON (1995),COMEDY
215,217,"BABYSITTER, THE (1995)",DRAMA
215,217,"BABYSITTER, THE (1995)",THRILLER
216,218,BOYS ON THE SIDE (1995),COMEDY
216,218,BOYS ON THE SIDE (1995),DRAMA
217,219,"CURE, THE (1995)",DRAMA
218,220,CASTLE FREAK (1995),HORROR
219,222,CIRCLE OF FRIENDS (1995),DRAMA
219,222,CIRCLE OF FRIENDS (1995),ROMANCE
220,223,CLERKS (1994),COMEDY
221,224,DON JUAN DEMARCO (1995),COMEDY
221,224,DON JUAN DEMARCO (1995),DRAMA
221,224,DON JUAN DEMARCO (1995),ROMANCE
222,225,DISCLOSURE (1994),DRAMA
222,225,DISCLOSURE (1994),THRILLER
223,226,DREAM MAN (1995),THRILLER
224,227,DROP ZONE (1994),ACTION
225,228,DESTINY TURNS ON THE RADIO (1995),COMEDY
226,229,DEATH AND THE MAIDEN (1994),DRAMA
226,229,DEATH AND THE MAIDEN (1994),THRILLER
227,230,DOLORES CLAIBORNE (1994),DRAMA
227,230,DOLORES CLAIBORNE (1994),THRILLER
228,231,DUMB & DUMBER (1994),COMEDY
229,232,EAT DRINK MAN WOMAN (1994),COMEDY
229,232,EAT DRINK MAN WOMAN (1994),DRAMA
230,233,EXOTICA (1994),DRAMA
231,234,EXIT TO EDEN (1994),COMEDY
232,235,ED WOOD (1994),COMEDY
232,235,ED WOOD (1994),DRAMA
233,236,FRENCH KISS (1995),COMEDY
233,236,FRENCH KISS (1995),ROMANCE
234,237,FORGET PARIS (1995),COMEDY
234,237,FORGET PARIS (1995),ROMANCE
235,238,FAR FROM HOME: THE ADVENTURES OF YELLOW DOG (1995),ADVENTURE
235,238,FAR FROM HOME: THE ADVENTURES OF YELLOW DOG (1995),CHILDREN'S
236,239,"GOOFY MOVIE, A (1995)",ANIMATION
236,239,"GOOFY MOVIE, A (1995)",CHILDREN'S
236,239,"GOOFY MOVIE, A (1995)",COMEDY
236,239,"GOOFY MOVIE, A (1995)",ROMANCE
237,240,HIDEAWAY (1995),THRILLER
238,241,FLUKE (1995),CHILDREN'S
238,241,FLUKE (1995),DRAMA
239,242,FARINELLI: IL CASTRATO (1994),DRAMA
239,242,FARINELLI: IL CASTRATO (1994),MUSICAL
240,243,GORDY (1995),COMEDY
241,244,GUMBY: THE MOVIE (1995),ANIMATION
241,244,GUMBY: THE MOVIE (1995),CHILDREN'S
242,245,"GLASS SHIELD, THE (1994)",CRIME
242,245,"GLASS SHIELD, THE (1994)",DRAMA
243,246,HOOP DREAMS (1994),DOCUMENTARY
244,247,HEAVENLY CREATURES (1994),DRAMA
244,247,HEAVENLY CREATURES (1994),FANTASY
244,247,HEAVENLY CREATURES (1994),ROMANCE
244,247,HEAVENLY CREATURES (1994),THRILLER
245,248,HOUSEGUEST (1994),COMEDY
246,249,IMMORTAL BELOVED (1994),DRAMA
246,249,IMMORTAL BELOVED (1994),ROMANCE
247,250,HEAVYWEIGHTS (1994),CHILDREN'S
247,250,HEAVYWEIGHTS (1994),COMEDY
248,251,"HUNTED, THE (1995)",ACTION
249,252,I.Q. (1994),COMEDY
249,252,I.Q. (1994),ROMANCE
250,253,INTERVIEW WITH THE VAMPIRE (1994),DRAMA
250,253,INTERVIEW WITH THE VAMPIRE (1994),HORROR
251,254,JEFFERSON IN PARIS (1995),DRAMA
252,255,"JERKY BOYS, THE (1994)",COMEDY
253,256,JUNIOR (1994),COMEDY
253,256,JUNIOR (1994),SCI-FI
254,257,JUST CAUSE (1995),MYSTERY
254,257,JUST CAUSE (1995),THRILLER
255,258,"KID IN KING ARTHUR'S COURT, A (1995)",ADVENTURE
255,258,"KID IN KING ARTHUR'S COURT, A (1995)",CHILDREN'S
255,258,"KID IN KING ARTHUR'S COURT, A (1995)",COMEDY
255,258,"KID IN KING ARTHUR'S COURT, A (1995)",FANTASY
255,258,"KID IN KING ARTHUR'S COURT, A (1995)",ROMANCE
256,259,KISS OF DEATH (1995),CRIME
256,259,KISS OF DEATH (1995),DRAMA
256,259,KISS OF DEATH (1995),THRILLER
257,260,STAR WARS: EPISODE IV - A NEW HOPE (1977),ACTION
257,260,STAR WARS: EPISODE IV - A NEW HOPE (1977),ADVENTURE
257,260,STAR WARS: EPISODE IV - A NEW HOPE (1977),FANTASY
257,260,STAR WARS: EPISODE IV - A NEW HOPE (1977),SCI-FI
258,261,LITTLE WOMEN (1994),DRAMA
259,262,"LITTLE PRINCESS, A (1995)",CHILDREN'S
259,262,"LITTLE PRINCESS, A (1995)",DRAMA
260,263,LADYBIRD LADYBIRD (1994),DRAMA
261,264,"ENFER, L' (1994)",DRAMA
262,265,LIKE WATER FOR CHOCOLATE (COMO AGUA PARA CHOCOLATE) (1992),DRAMA
262,265,LIKE WATER FOR CHOCOLATE (COMO AGUA PARA CHOCOLATE) (1992),ROMANCE
263,266,LEGENDS OF THE FALL (1994),DRAMA
263,266,LEGENDS OF THE FALL (1994),ROMANCE
263,266,LEGENDS OF THE FALL (1994),WAR
263,266,LEGENDS OF THE FALL (1994),WESTERN
264,267,MAJOR PAYNE (1994),COMEDY
265,268,LITTLE ODESSA (1994),DRAMA
266,269,MY CRAZY LIFE (MI VIDA LOCA) (1993),DRAMA
267,270,LOVE AFFAIR (1994),DRAMA
267,270,LOVE AFFAIR (1994),ROMANCE
268,271,LOSING ISAIAH (1995),DRAMA
269,272,"MADNESS OF KING GEORGE, THE (1994)",DRAMA
270,273,MARY SHELLEY'S FRANKENSTEIN (1994),DRAMA
270,273,MARY SHELLEY'S FRANKENSTEIN (1994),HORROR
271,274,MAN OF THE HOUSE (1995),COMEDY
272,275,MIXED NUTS (1994),COMEDY
273,276,MILK MONEY (1994),COMEDY
273,276,MILK MONEY (1994),ROMANCE
274,277,MIRACLE ON 34TH STREET (1994),DRAMA
275,278,MIAMI RHAPSODY (1995),COMEDY
276,279,MY FAMILY (1995),DRAMA
277,280,MURDER IN THE FIRST (1995),DRAMA
277,280,MURDER IN THE FIRST (1995),THRILLER
278,281,NOBODY'S FOOL (1994),DRAMA
279,282,NELL (1994),DRAMA
280,283,NEW JERSEY DRIVE (1995),CRIME
280,283,NEW JERSEY DRIVE (1995),DRAMA
281,284,NEW YORK COP (1996),ACTION
281,284,NEW YORK COP (1996),CRIME
282,285,BEYOND BEDLAM (1993),DRAMA
282,285,BEYOND BEDLAM (1993),HORROR
283,286,NEMESIS 2: NEBULA (1995),ACTION
283,286,NEMESIS 2: NEBULA (1995),SCI-FI
283,286,NEMESIS 2: NEBULA (1995),THRILLER
284,287,NINA TAKES A LOVER (1994),COMEDY
284,287,NINA TAKES A LOVER (1994),ROMANCE
285,288,NATURAL BORN KILLERS (1994),ACTION
285,288,NATURAL BORN KILLERS (1994),THRILLER
286,289,ONLY YOU (1994),COMEDY
286,289,ONLY YOU (1994),ROMANCE
287,290,ONCE WERE WARRIORS (1994),CRIME
287,290,ONCE WERE WARRIORS (1994),DRAMA
288,291,POISON IVY II (1995),THRILLER
289,292,OUTBREAK (1995),ACTION
289,292,OUTBREAK (1995),DRAMA
289,292,OUTBREAK (1995),THRILLER
290,293,"PROFESSIONAL, THE (A.K.A. LEON: THE PROFESSIONAL) (1994)",CRIME
290,293,"PROFESSIONAL, THE (A.K.A. LEON: THE PROFESSIONAL) (1994)",DRAMA
290,293,"PROFESSIONAL, THE (A.K.A. LEON: THE PROFESSIONAL) (1994)",ROMANCE
290,293,"PROFESSIONAL, THE (A.K.A. LEON: THE PROFESSIONAL) (1994)",THRILLER
291,294,"PEREZ FAMILY, THE (1995)",COMEDY
291,294,"PEREZ FAMILY, THE (1995)",ROMANCE
292,295,"PYROMANIAC'S LOVE STORY, A (1995)",COMEDY
292,295,"PYROMANIAC'S LOVE STORY, A (1995)",ROMANCE
293,296,PULP FICTION (1994),CRIME
293,296,PULP FICTION (1994),DRAMA
294,297,PANTHER (1995),DRAMA
295,298,PUSHING HANDS (1992),COMEDY
296,299,PRIEST (1994),DRAMA
297,300,QUIZ SHOW (1994),DRAMA
298,301,PICTURE BRIDE (1995),DRAMA
298,301,PICTURE BRIDE (1995),ROMANCE
299,302,QUEEN MARGOT (LA REINE MARGOT) (1994),DRAMA
299,302,QUEEN MARGOT (LA REINE MARGOT) (1994),ROMANCE
300,303,"QUICK AND THE DEAD, THE (1995)",ACTION
300,303,"QUICK AND THE DEAD, THE (1995)",ADVENTURE
300,303,"QUICK AND THE DEAD, THE (1995)",WESTERN
301,304,ROOMMATES (1995),COMEDY
